workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.372217542,268660.0944777611,2.875,10.916,38.333,78837,21006
crossing,cpp,0,100000,0.275860084,362502.6083875187,1.5,6.375,10.0,78837,21006
crossing,cpp,1,100000,0.257736791,387992.7254933503,1.417,6.209,9.417,78837,21006
crossing,python,1,100000,0.367972959,271759.09955926955,2.709,9.542,15.042,78837,21006
crossing,python,2,100000,0.381141833,262369.52058736625,2.5,8.583,13.25,78837,21006
crossing,cpp,2,100000,0.271941459,367726.20242505945,1.542,6.375,9.833,78837,21006
crossing,cpp,3,100000,0.255545792,391319.2982649466,2.0,7.708,10.833,78837,21006
crossing,python,3,100000,0.454847,219854.14875771414,2.583,8.833,13.292,78837,21006
crossing,python,4,100000,0.395395083,252911.59222635048,2.875,9.791,14.75,78837,21006
crossing,cpp,4,100000,0.345999834,289017.4797020278,2.042,8.0,11.375,78837,21006
resting,python,0,100000,0.291093084,343532.7237111549,1.958,2.625,4.792,0,100000
resting,cpp,0,100000,0.146340208,683339.1954725116,1.208,1.958,2.459,0,100000
resting,cpp,1,100000,0.109230792,915492.766911367,0.959,1.625,2.042,0,100000
resting,python,1,100000,0.276405583,361787.19298878993,2.041,2.792,3.792,0,100000
resting,python,2,100000,0.291218541,343384.7297518052,2.0,2.667,4.917,0,100000
resting,cpp,2,100000,0.123256708,811314.8697756879,1.0,1.583,2.125,0,100000
resting,cpp,3,100000,0.106394375,939899.3132860642,0.959,1.708,2.208,0,100000
resting,python,3,100000,0.270982084,369028.0867424431,1.958,2.5,5.084,0,100000
resting,python,4,100000,0.264508625,378059.505621036,2.042,3.208,8.792,0,100000
resting,cpp,4,100000,0.109801583,910733.682227514,0.959,1.584,2.209,0,100000
cancel_replace,python,0,100000,0.117786334,848994.9266949763,1.333,1.708,1.958,0,0
cancel_replace,cpp,0,100000,0.0997745,1002260.0965176473,0.833,1.542,1.958,0,0
cancel_replace,cpp,1,100000,0.087965667,1136807.1590931038,0.833,1.542,1.875,0,0
cancel_replace,python,1,100000,0.119067917,839856.8020636492,1.333,1.875,2.334,0,0
cancel_replace,python,2,100000,0.126376708,791285.0523056828,1.584,2.125,2.542,0,0
cancel_replace,cpp,2,100000,0.097118959,1029665.0729133124,0.834,1.584,2.083,0,0
cancel_replace,cpp,3,100000,0.090894917,1100171.5310439195,0.834,1.583,2.042,0,0
cancel_replace,python,3,100000,0.11478725,871176.8946464002,1.292,1.708,2.041,0,0
cancel_replace,python,4,100000,0.114497708,873379.9282689571,1.333,1.709,1.959,0,0
cancel_replace,cpp,4,100000,0.087532375,1142434.4421135609,0.792,1.541,1.625,0,0
mixed,python,0,100000,0.380646833,262710.7106392239,2.75,8.334,12.25,89791,6697
mixed,cpp,0,100000,0.264880459,377528.7930922832,1.959,6.25,9.167,89791,6697
mixed,cpp,1,100000,0.260743917,383518.0553799842,2.25,6.334,9.209,89791,6697
mixed,python,1,100000,0.384895166,259811.00526474265,2.708,8.333,12.458,89791,6697
mixed,python,2,100000,0.382322042,261559.59901469664,2.667,8.25,12.167,89791,6697
mixed,cpp,2,100000,0.2677615,373466.68583795655,1.959,6.25,9.042,89791,6697
mixed,cpp,3,100000,0.256692292,389571.4951970588,2.167,6.25,9.25,89791,6697
mixed,python,3,100000,0.377800917,264689.6698771115,2.667,8.25,12.167,89791,6697
mixed,python,4,100000,0.383822875,260536.84267775857,2.667,8.292,12.334,89791,6697
mixed,cpp,4,100000,0.265738833,376309.32171663444,1.959,6.25,9.084,89791,6697
