workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.334968125,298535.8681516338,2.209,7.792,10.667,79097,20750
crossing,cpp,0,100000,0.226571667,441361.45231257,1.458,6.209,8.584,79097,20750
crossing,cpp,1,100000,0.235905709,423898.1770466606,1.417,6.25,8.667,79097,20750
crossing,python,1,100000,0.348485667,286955.8477422258,2.583,8.083,11.333,79097,20750
crossing,python,2,100000,0.351307125,284651.2150870837,2.584,8.167,11.667,79097,20750
crossing,cpp,2,100000,0.228713083,437229.03249920334,1.417,6.209,8.667,79097,20750
crossing,cpp,3,100000,0.238916375,418556.4928314353,1.375,6.25,8.584,79097,20750
crossing,python,3,100000,0.340237875,293912.0167030199,2.583,8.042,11.209,79097,20750
crossing,python,4,100000,0.350438458,285356.8086411338,2.458,7.958,11.042,79097,20750
crossing,cpp,4,100000,0.235982875,423759.5630615145,1.375,6.25,8.625,79097,20750
resting,python,0,100000,0.294866792,339136.1886556558,2.042,2.875,3.541,0,100000
resting,cpp,0,100000,0.094699,1055977.3598454047,0.917,1.25,1.458,0,100000
resting,cpp,1,100000,0.106611833,937982.1843978614,0.958,1.667,2.083,0,100000
resting,python,1,100000,0.294468166,339595.2824319896,2.042,2.916,3.542,0,100000
resting,python,2,100000,0.296640417,337108.4797254718,1.917,2.458,2.917,0,100000
resting,cpp,2,100000,0.109635208,912115.7502615401,0.958,1.584,1.959,0,100000
resting,cpp,3,100000,0.107120209,933530.6655348293,0.959,1.667,2.083,0,100000
resting,python,3,100000,0.29439325,339681.7012618326,2.042,2.916,3.542,0,100000
resting,python,4,100000,0.242796625,411867.33958925505,1.958,2.625,3.167,0,100000
resting,cpp,4,100000,0.106817917,936172.5336770983,0.917,1.417,1.75,0,100000
cancel_replace,python,0,100000,0.110557583,904506.0256065837,1.292,1.75,2.333,0,0
cancel_replace,cpp,0,100000,0.083061459,1203927.8048318415,0.833,1.542,1.667,0,0
cancel_replace,cpp,1,100000,0.08818275,1134008.6354757592,0.833,1.583,1.916,0,0
cancel_replace,python,1,100000,0.107595917,929403.2969671144,1.292,1.709,2.25,0,0
cancel_replace,python,2,100000,0.109509834,913159.9998590081,1.291,1.625,2.041,0,0
cancel_replace,cpp,2,100000,0.08827525,1132820.35451613,0.834,1.625,2.041,0,0
cancel_replace,cpp,3,100000,0.088216458,1133575.3244592976,0.833,1.583,2.0,0,0
cancel_replace,python,3,100000,0.11270725,887254.3691732342,1.292,1.625,1.959,0,0
cancel_replace,python,4,100000,0.111337166,898172.6730856433,1.292,1.75,2.334,0,0
cancel_replace,cpp,4,100000,0.087408375,1144055.132016812,0.833,1.584,2.0,0,0
mixed,python,0,100000,0.378064542,264505.1013538318,2.75,8.166,11.292,89910,6741
mixed,cpp,0,100000,0.243626833,410463.8178340561,2.292,6.375,8.709,89910,6741
mixed,cpp,1,100000,0.245664959,407058.4604619986,1.75,6.083,8.208,89910,6741
mixed,python,1,100000,0.370180917,270138.18219052063,2.666,8.0,11.792,89910,6741
mixed,python,2,100000,0.366843458,272595.8384134521,2.584,7.958,11.375,89910,6741
mixed,cpp,2,100000,0.255207875,391837.4384019302,2.292,6.375,8.667,89910,6741
mixed,cpp,3,100000,0.248143,402993.43523694,1.75,6.125,8.125,89910,6741
mixed,python,3,100000,0.350940583,284948.5207585696,2.417,7.75,10.708,89910,6741
mixed,python,4,100000,0.355092708,281616.5968691196,2.625,7.917,10.875,89910,6741
mixed,cpp,4,100000,0.252753584,395642.2631775619,2.292,6.5,8.875,89910,6741
