workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.385942042,259106.26238537653,2.708,8.541,12.541,79097,20750
crossing,cpp,0,100000,0.245092208,408009.70710582525,1.708,6.375,8.584,79097,20750
crossing,cpp,1,100000,0.242607958,412187.6331855528,1.709,6.417,8.666,79097,20750
crossing,python,1,100000,0.383643542,260658.62982778947,2.625,8.417,12.416,79097,20750
crossing,python,2,100000,0.360337541,277517.5734465036,2.625,8.458,12.625,79097,20750
crossing,cpp,2,100000,0.24700275,404853.7921136506,1.708,6.458,9.125,79097,20750
crossing,cpp,3,100000,0.243213041,411162.1629697069,1.75,6.375,8.709,79097,20750
crossing,python,3,100000,0.381368833,262213.3518708384,2.458,8.084,11.583,79097,20750
crossing,python,4,100000,0.358240917,279141.7597895441,2.625,8.417,12.291,79097,20750
crossing,cpp,4,100000,0.253418208,394604.63709063875,1.875,6.5,9.084,79097,20750
resting,python,0,100000,0.287887333,347358.1104035584,2.042,3.083,4.167,0,100000
resting,cpp,0,100000,0.105169167,950849.0259317163,1.041,2.083,2.667,0,100000
resting,cpp,1,100000,0.121091,825825.2058369325,1.0,2.083,2.667,0,100000
resting,python,1,100000,0.279320208,358012.04902439425,2.125,3.084,4.083,0,100000
resting,python,2,100000,0.304268125,328657.4957531289,2.042,3.0,3.958,0,100000
resting,cpp,2,100000,0.105714875,945940.6729658432,1.0,2.125,2.791,0,100000
resting,cpp,3,100000,0.133512458,748993.7755471478,1.083,2.333,3.042,0,100000
resting,python,3,100000,0.28702725,348398.97605540935,2.084,3.125,4.167,0,100000
resting,python,4,100000,0.314279375,318188.23618317296,2.0,2.834,3.667,0,100000
resting,cpp,4,100000,0.124200417,805150.2757836956,0.959,1.666,2.041,0,100000
cancel_replace,python,0,100000,0.117361583,852067.5798996338,1.333,1.833,2.333,0,0
cancel_replace,cpp,0,100000,0.087615542,1141350.0129919872,0.792,1.542,1.667,0,0
cancel_replace,cpp,1,100000,0.087928625,1137286.0658289609,0.833,1.583,1.75,0,0
cancel_replace,python,1,100000,0.115768584,863792.2011726429,1.333,1.833,2.25,0,0
cancel_replace,python,2,100000,0.114963167,869843.817020107,1.333,1.834,2.291,0,0
cancel_replace,cpp,2,100000,0.088128792,1134702.947023261,0.833,1.542,1.875,0,0
cancel_replace,cpp,3,100000,0.088867792,1125267.0708866043,0.833,1.542,1.834,0,0
cancel_replace,python,3,100000,0.115050708,869181.961053208,1.333,1.875,2.333,0,0
cancel_replace,python,4,100000,0.115159375,868361.7812271038,1.333,1.959,2.459,0,0
cancel_replace,cpp,4,100000,0.087364666,1144627.5087917123,0.792,1.542,1.625,0,0
mixed,python,0,100000,0.404826375,247019.47841219584,2.958,8.833,12.625,89910,6741
mixed,cpp,0,100000,0.2558325,390880.7520545669,1.958,6.334,9.041,89910,6741
mixed,cpp,1,100000,0.264556792,377990.67354883865,2.334,6.583,9.25,89910,6741
mixed,python,1,100000,0.389634292,256650.9212695273,2.791,8.458,12.291,89910,6741
mixed,python,2,100000,0.375488833,266319.5046335772,2.958,8.792,12.5,89910,6741
mixed,cpp,2,100000,0.258571166,386740.72421516635,2.209,6.417,9.458,89910,6741
mixed,cpp,3,100000,0.25679575,389414.54443852755,1.917,6.333,8.5,89910,6741
mixed,python,3,100000,0.384204291,260278.1966326347,2.833,8.667,12.667,89910,6741
mixed,python,4,100000,0.386844333,258501.91270606,2.916,8.75,12.542,89910,6741
mixed,cpp,4,100000,0.258515041,386824.6876977653,2.0,6.333,8.542,89910,6741
